name,role
Alice,Designer
Bob,developer
Cara,Data Analyst
Dan,Project Manager
Eli,Designer
Fay,Software Engineer
Gus,Developer
Hana,Research Assistant
Ian,Data Analyst
Jia,Intern
Kai,Project manager
Lia,Designer
Moe,Developer
Nia,software engineer
Omar,Research Assistant
Pia,Designer
Quin,Data analyst
Rae,intern
Sam,Developer
Tia,Project Manager
Uma,Software Engineer
Val,Designer
Wes,Research assistant
Xia,Data Analyst
Yan,Developer
Zoe,Intern
,Developer
,designer
Arun,Data Analyst
Bea,Project Manager
Cole,Software Engineer
Dee,Research Assistant
Ena,Developer
Finn,Designer
Gia,Data Analyst
Hugo,Intern
Ivy,Project Manager
Jude,Software Engineer
Kira,Developer
Leo,Designer
Mila,Research Assistant
Noel,Data Analyst
Ola,Intern
Pax,Project Manager
Rina,Software Engineer
Sean,Developer
Tess,Designer
Uli,Research Assistant
Vera,Data Analyst
Will,Intern
Xeno,Project Manager
Yara,Software Engineer
Zane,Developer
Anya,Designer
Bran,Data Analyst
